StudentID,Age,Gender,School_Type,Socioeconomic_Status,Mathematics_Score,Science_Score,Language_Arts_Score,Social_Studies_Score,Mathematics_Improvement,Science_Improvement,Language_Arts_Improvement,Social_Studies_Improvement,Logical_Reasoning,Critical_Thinking,Analytical_Ability,Creativity,Communication,Emotional_Intelligence,Social_Skills,Leadership,Sports_Participation,Sports_Involvement,Arts_Participation,Arts_Involvement,Music_Participation,Music_Involvement,Science_Club_Participation,Science_Club_Involvement,Debate_Participation,Debate_Involvement,Community_Service_Participation,Community_Service_Involvement,Learning_Style,STEM_Score,Business_Finance_Score,Arts_Media_Score,Healthcare_Score,Education_Score,Social_Services_Score,Trades_Manufacturing_Score,Government_Law_Score,Primary_Career_Recommendation,Secondary_Career_Recommendations,Recommendation_Confidence
STU0001,10,Male,Public,Middle,59,61,65,79,0,-3,0,-2,5,3,2,7,9,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,Kinesthetic,27.968076632577514,30.87891356220221,66.19150186065312,23.827044082646083,56.88808181635636,27.02417161320935,66.45513081516114,31.456639496832757,Trades_Manufacturing,"['Arts_Media', 'Education']",0.2636289545080217
STU0002,11,Female,Public,Low,37,65,67,95,3,6,9,1,9,4,3,10,4,7,6,8,0,0,1,4,0,0,1,3,0,0,1,2,Auditory,39.344810114435894,44.496187245338824,54.77465391116048,45.133277781768925,40.270128095201244,63.203733412892404,52.371000605423845,68.10332904016873,Government_Law,"['Social_Services', 'Arts_Media']",4.899595627276327
STU0003,9,Female,Private,Middle,77,57,61,74,0,1,2,3,6,9,9,4,10,1,2,7,0,0,1,1,1,4,0,0,0,0,1,5,Auditory,53.080219111571246,67.89106182181443,52.76091930818395,55.91023801619106,55.910383301319285,28.610689612670555,49.680218598810946,41.76915000613757,Business_Finance,"['Education', 'Healthcare']",11.980678520495147
STU0004,11,Male,Private,Low,84,76,64,60,1,1,1,-8,5,1,3,3,6,6,3,3,1,4,0,0,0,0,0,0,0,0,1,3,Auditory,40.79655104885397,24.046358837115967,32.93986076967863,41.61599248195231,28.85602426132166,37.81162037592571,39.01881184873408,31.282979669136296,Healthcare,"['STEM', 'Trades_Manufacturing']",0.8194414330983406
STU0005,11,Female,Public,High,76,87,62,53,-8,-2,5,15,8,10,7,3,8,9,4,1,0,0,1,1,0,0,0,0,0,0,1,4,Auditory,64.70390639323837,34.31337819113046,43.37461314802421,83.92478157343226,55.719169092025446,55.87587314306628,40.292862951934936,23.52727273233875,Healthcare,"['STEM', 'Social_Services']",19.220875180193886
STU0006,8,Male,Public,Middle,60,90,55,86,6,0,7,0,1,8,3,3,5,5,2,1,0,0,1,4,0,0,0,0,1,4,0,0,Visual,13.675158311025875,23.388507926467117,28.987105511975773,72.4604585028401,44.70066436745832,39.667950966551516,20.609474684291733,49.69517712429934,Healthcare,"['Government_Law', 'Education']",22.765281378540756
STU0007,9,Male,Public,Middle,52,64,82,75,-7,-3,1,-2,7,2,6,10,3,7,1,10,1,5,0,0,0,0,0,0,1,2,1,1,Visual,49.67642231300709,62.948490920600676,49.23889897167049,49.50268771760562,30.446131836769457,39.758953405820755,60.21109378300037,81.77767062648307,Government_Law,"['Business_Finance', 'Trades_Manufacturing']",18.829179705882396
STU0008,9,Female,Private,Low,77,74,67,95,-5,6,0,-3,8,1,9,5,9,7,7,4,0,0,0,0,0,0,1,2,1,2,0,0,Visual,82.38630837543872,28.250514242871304,48.18452456447273,39.36623600599819,57.75907106705369,50.719559380211265,63.00526638999817,57.97040724737691,STEM,"['Trades_Manufacturing', 'Government_Law']",19.381041985440547
STU0009,9,Male,Private,Middle,72,76,73,39,-3,7,-9,3,9,10,6,6,3,8,1,7,1,5,0,0,0,0,0,0,0,0,0,0,Auditory,60.53125286195041,61.296115198397096,39.653049896347014,76.41371934677436,19.99242004048653,43.52386193059274,45.91875180437696,41.216579185377746,Healthcare,"['Business_Finance', 'STEM']",15.11760414837726
STU0010,11,Other,Public,Low,68,79,72,83,1,10,2,3,9,7,4,4,9,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,Visual,52.63783859094521,35.548542241514866,41.557049203165754,64.3277935823178,85.48274691428217,68.57976849916557,33.40814331603231,23.893711527666806,Education,"['Social_Services', 'Healthcare']",16.902978415116607
STU0011,10,Female,Private,Middle,97,56,70,66,-6,4,0,-3,8,4,5,10,2,4,7,6,0,0,0,0,0,0,1,4,0,0,0,0,Auditory,58.79827592180945,42.63820217683213,40.88737449927405,37.83260042249451,35.1454601305846,45.25301226001332,88.79704426909346,46.07224920567959,Trades_Manufacturing,"['STEM', 'Government_Law']",29.998768347284013
